source_file	line_number	reason	raw_row
input_inproceedings.csv	19475	Missing conference article title	29367;Joshua Zhexue Huang|Xiaofei Xu|Xiaojun Chen|Yan Li|Yunming Ye;CICLing;;;;conf/cicling/2006;;http://dx.doi.org/10.1007/11671299_39;MFCRank;conf/cicling/YeLXHC06;2008-02-14;;;;378-388;;;;;;;db/conf/cicling/cicling2006.html#YeLXHC06;2006
input_inproceedings.csv	33671	Missing conference article title	43709;James P. Reilly|Nasser Mourad;ICASSP;;;;conf/icassp/2009;;http://dx.doi.org/10.1109/ICASSP.2009.4960341;l;conf/icassp/MouradR09;2010-05-11;;;;3345-3348;;;;;;;db/conf/icassp/icassp2009.html#MouradR09;2009
input_inproceedings.csv	41658	Missing conference article title	51705;Mihailo Stojnic;ICASSP;;;;conf/icassp/2010;;http://dx.doi.org/10.1109/ICASSP.2010.5495812;l;conf/icassp/Stojnic10;2010-11-29;;;;3910-3913;;;;;;;db/conf/icassp/icassp2010.html#Stojnic10;2010
input_inproceedings.csv	50968	Missing conference article title	61059;Issam Chebbi|Samir Tata;OTM Conferences (1);;;;conf/otm/2005-3;;http://dx.doi.org/10.1007/11575771_10;CoopFlow;conf/otm/ChebbiT05;2005-11-04;;;;112-129;;;;;;;db/conf/otm/otm2005-1c.html#ChebbiT05;2005
input_inproceedings.csv	51301	Missing conference article title	61398;Carrie Gates|Chenxi Wang|Cynthia Wong|Matthew Dunlop;OTM Conferences (2);;;;conf/otm/2007-2;;http://dx.doi.org/10.1007/978-3-540-76843-2_44;SWorD;conf/otm/DunlopGWW07;2007-11-23;;;;1752-1769;;;;;;;db/conf/otm/otm2007-2.html#DunlopGWW07;2007
input_inproceedings.csv	51705	Missing conference article title	61806;Eiko Yoneki|Jean Bacon;OTM Conferences (2);;;;conf/otm/2007-2;;http://dx.doi.org/10.1007/978-3-540-76843-2_7;eCube: ;conf/otm/YonekiB07;2007-11-23;;;;1244-1263;;;;;;;db/conf/otm/otm2007-2.html#YonekiB07;2007
input_inproceedings.csv	51708	Missing conference article title	61809;Hiroyuki Sato;OTM Conferences (2);;;;conf/otm/2009-2;;http://dx.doi.org/10.1007/978-3-642-05151-7_6;N|epsilon;conf/otm/Sato09;2009-11-08;;;;833-847;;;;;;;db/conf/otm/otm2009-2.html#Sato09;2009
input_inproceedings.csv	51767	Missing conference article title	61868;José Júlio Alferes|Ricardo Amador;OTM Conferences (1);;;;conf/otm/2007-1;;http://dx.doi.org/10.1007/978-3-540-76848-7_62;r;conf/otm/AlferesA07;2007-11-23;;;;933-952;;;3;;;;db/conf/otm/otm2007-1.html#AlferesA07;2007
input_inproceedings.csv	51895	Missing conference article title	61998;Ricardo Amador;OTM Workshops;;;;conf/otm/2009-w;;http://dx.doi.org/10.1007/978-3-642-05290-3_95;K|R;conf/otm/Amador09;2009-11-08;;;;789-799;;;4;;;;db/conf/otm/otm2009-w.html#Amador09;2009
input_inproceedings.csv	52052	Missing conference article title	62158;Aline Senart|David Trastour|Magali Seguran;OTM Workshops;;;;conf/otm/2012-w;;http://dx.doi.org/10.1007/978-3-642-33618-8_44;remix;conf/otm/SeguranST12;2013-01-28;;;;312-315;;;;;;;db/conf/otm/otm2012-w.html#SeguranST12;2012
input_inproceedings.csv	57041	Missing conference article title	67204;Kevin J. Healy|Richard A. Kilgore;Winter Simulation Conference;;;;;;http://doi.acm.org/10.1145/268437.268545;Silk;conf/wsc/HealyK97;2006-03-14;;;;475-482;;;;;;;db/conf/wsc/wsc1997.html#HealyK97;1997
input_inproceedings.csv	62458	Missing conference article title	72655;Da Ruan|Jun Liu|Luis Martínez|Xingxing He|Yang Xu|Yingfang Li;HAIS (2);;;;conf/hais/2010-2;;http://dx.doi.org/10.1007/978-3-642-13803-4_40;alpha|alpha;conf/hais/HeXLLMR10;2010-06-25;;;;320-327;;;;;;;db/conf/hais/hais2010-2.html#HeXLLMR10;2010
input_inproceedings.csv	63437	Missing conference article title	73651;Michael Massimi|Ravin Balakrishnan|Xiang Cao;CSCW;;;;conf/cscw/2008;;http://doi.acm.org/10.1145/1460563.1460577;Flashlight jigsaw;conf/cscw/CaoMB08;2008-11-24;;;;77-86;;;;;;;db/conf/cscw/cscw2008.html#CaoMB08;2008
input_inproceedings.csv	68506	Missing conference article title	78797;Stephanie Solt;Amsterdam Colloquium on Logic, Language and Meaning;;;;conf/amsterdam/2009;;http://dx.doi.org/10.1007/978-3-642-14287-1_45;More|Much;conf/amsterdam/Solt09;2010-12-15;;;;446-455;;;;;;;db/conf/amsterdam/amsterdam2009.html#Solt09;2009
input_inproceedings.csv	68559	Missing conference article title	78851;Jaewoo Ahn|Kyungha Min;ICAT;;;;conf/icat/2006;;http://dx.doi.org/10.1007/11941354_7;VirtualPhonepad;conf/icat/AhnM06;2006-11-20;;;;58-64;;;;;;;db/conf/icat/icat2006.html#AhnM06;2006
input_inproceedings.csv	69439	Missing conference article title	79752;Daniel A. Keim|Franz Wanner|Thomas Ramm;WIMS;;;;conf/wims/2011;;http://doi.acm.org/10.1145/1988688.1988705;ForAVis;conf/wims/WannerRK11;2011-05-30;;;;14;;;;;;;db/conf/wims/wims2011.html#WannerRK11;2011
input_inproceedings.csv	73638	Missing conference article title	84011;Chung-Kuan Cheng|Paul M. Chau|Takeo Hamada;DAC;;;;;;http://doi.acm.org/10.1145/157485.165015;Prime;conf/dac/HamadaCC93;2002-12-16;;;;531-536;;;;;;;db/conf/dac/dac93.html#HamadaCC93;1993
input_inproceedings.csv	73892	Missing conference article title	84266;Andrzej J. Strojwas|Lawrence T. Pileggi|Ying Liu;DAC;;;;;;http://doi.acm.org/10.1145/277044.277174;ftd;conf/dac/LiuPS98;2002-12-16;;;;469-472;;;;;;;db/conf/dac/dac98.html#LiuPS98;1998
input_inproceedings.csv	74961	Missing conference article title	85345;Dan Siegal-Gaskins|Joshua N. Ash|Marisa Eisenberg;DAC;;;;conf/dac/2011;;http://doi.acm.org/10.1145/2024724.2024906;In silico;conf/dac/EisenbergAS11;2012-03-06;;;;812-817;;;;;;;db/conf/dac/dac2011.html#EisenbergAS11;2011
input_inproceedings.csv	75109	Missing conference article title	85494;Irith Pomeranz|Sudhakar M. Reddy;DAC;;;;;;http://doi.acm.org/10.1145/157485.164583;INCREDYBLE-TG;conf/dac/PomeranzR93;2002-12-16;;;;80-85;;;;;;;db/conf/dac/dac93.html#PomeranzR93;1993
input_inproceedings.csv	78716	Missing conference article title	89132;Luis Angel D. Bathen|Nikil Dutt;DAC;;;;conf/dac/2012;;http://doi.acm.org/10.1145/2228360.2228438;HaVOC;conf/dac/BathenD12;2012-06-01;;;;447-452;;;;;;;db/conf/dac/dac2012.html#BathenD12;2012
input_inproceedings.csv	79012	Missing conference article title	89430;Ganesh Lakshminarayana|Niraj K. Jha;DAC;;;;;;http://doi.acm.org/10.1145/277044.277066;FACT;conf/dac/LakshminarayanaJ98;2002-12-16;;;;102-107;;;;;;;db/conf/dac/dac98.html#LakshminarayanaJ98;1998
input_inproceedings.csv	86519	Missing conference article title	97074;Chu Sing Lim|Deepak Perumal|Meena K. Sakharkar;PRIB;;;;conf/prib/2007;;http://dx.doi.org/10.1007/978-3-540-75286-8_31;In silico|Pseudomonas aeruginosa;conf/prib/PerumalLS07;2007-09-20;;;;323-336;;;;;;;db/conf/prib/prib2007.html#PerumalLS07;2007
input_inproceedings.csv	86564	Missing conference article title	97120;Merja Oja;PRIB;;;;conf/prib/2007;;http://dx.doi.org/10.1007/978-3-540-75286-8_25;In Silico;conf/prib/Oja07;2007-09-20;;;;253-263;;;;;;;db/conf/prib/prib2007.html#Oja07;2007
input_inproceedings.csv	86830	Missing conference article title	97396;Giovanna Guerrini|Ismael Sanz|Marco Mesiti|Rafael Berlanga Llavori;EDBT;;;;conf/edbt/2006;;http://dx.doi.org/10.1007/11687238_88;ArHeX;conf/edbt/SanzMGL06;2006-03-15;;;;1186-1189;;;;;;;db/conf/edbt/edbt2006.html#SanzMGL06;2006
input_inproceedings.csv	87120	Missing conference article title	97692;Anastasios Kementsietsidis|Diego Milano|Floris Geerts;EDBT;;;;conf/edbt/2006;;http://dx.doi.org/10.1007/11687238_84;i;conf/edbt/GeertsKM06;2006-03-15;;;;1168-1171;;;;;;;db/conf/edbt/edbt2006.html#GeertsKM06;2006
input_inproceedings.csv	87577	Missing conference article title	98162;Atsuhiro Takasu|Jun Adachi|Mitsuki Kimura;EDBT/ICDT Workshops;;;;conf/edbt/2013w;;http://doi.acm.org/10.1145/2457317.2457390;FPI;conf/edbt/KimuraTA13;2013-04-07;;;;397-403;;;;;;;db/conf/edbt/edbtw2013.html#KimuraTA13;2013
input_inproceedings.csv	87791	Missing conference article title	98378;Florian Niedermann|Sylvia Radeschütz|Wolfgang Bischoff;EDBT;;;;conf/edbt/2010;;http://doi.acm.org/10.1145/1739041.1739132;BIAEditor;conf/edbt/RadeschutzNB10;2010-03-18;;;;705-708;;;;;;;db/conf/edbt/edbt2010.html#RadeschutzNB10;2010
input_inproceedings.csv	87860	Missing conference article title	98448;Berthold Reinwald|Petros Venetis|Yannis Sismanis;EDBT;;;;conf/edbt/2012;;http://doi.acm.org/10.1145/2247596.2247642;CRSI;conf/edbt/VenetisSR12;2012-06-09;;;;384-395;;;;;;;db/conf/edbt/edbt2012.html#VenetisSR12;2012
input_inproceedings.csv	87906	Missing conference article title	98495;Alfredo Cuzzocrea|Paolo Serafino;EDBT;;;;conf/edbt/2009;;http://doi.acm.org/10.1145/1516360.1516448;LCS;conf/edbt/CuzzocreaS09;2009-07-06;;;;768-779;;;;;;;db/conf/edbt/edbt2009.html#CuzzocreaS09;2009
input_inproceedings.csv	95232	Missing conference article title	105946;Antonio Reyes-Moro|D. Gutierrez-Magallanes|Jesús Cerquides|Juan A. Rodríguez-Aguilar|Maite López-Sánchez;ICEIS;;;;;;;Quotes;conf/iceis/Reyes-MoroRLCG02;2006-12-08;;;;989-994;;;;;;;db/conf/iceis/iceis2002.html#Reyes-MoroRLCG02;2002
input_inproceedings.csv	96160	Missing conference article title	106883;Fei Yan|Hongping Cai|Josef Kittler|Krystian Mikolajczyk|Mark Barnard;CVPR;;;;conf/cvpr/2010;;http://dx.doi.org/10.1109/CVPR.2010.5539916;l;conf/cvpr/YanMBCK10;2010-11-02;;;;3626-3632;;;;;;;db/conf/cvpr/cvpr2010.html#YanMBCK10;2010
input_inproceedings.csv	102471	Missing conference article title	113217;Chris Calabro|Ramamohan Paturi;CSR;;;;conf/csr/2009;;http://dx.doi.org/10.1007/978-3-642-03351-3_8;k|k;conf/csr/CalabroP09;2009-08-20;;;;59-70;;;;;;;db/conf/csr/csr2009.html#CalabroP09;2009
input_inproceedings.csv	102529	Missing conference article title	113277;Michael Kaminski|Tamar Aizikowitz;CSR;;;;conf/csr/2011;;http://dx.doi.org/10.1007/978-3-642-20712-9_27;LR;conf/csr/AizikowitzK11;2011-06-15;;;;345-358;;;;;;;db/conf/csr/csr2011.html#AizikowitzK11;2011
input_inproceedings.csv	111714	Missing conference article title	122631;Vladimir I. Gavrilenko;International Conference on Computational Science (3);;;;conf/iccS/2006-3;;http://dx.doi.org/10.1007/11758532_14;Ab initio ;conf/iccS/Gavrilenko06;2006-05-12;;;;89-96;;;;;;;db/conf/iccS/iccS2006-3.html#Gavrilenko06;2006
input_inproceedings.csv	112066	Missing conference article title	122988;Apurba K. Bhattacharjee|Daniel A. Nichols|John E. van Hamont|Mark G. Hartell|Rickey P. Hicks|Wilbur K. Milhous;International Conference on Computational Science (1);;;;conf/iccS/2006-1;;http://dx.doi.org/10.1007/11758501_54;In Silico;conf/iccS/BhattacharjeeHNHHM06;2006-05-15;;;;387-394;;;;;;;db/conf/iccS/iccS2006-1.html#BhattacharjeeHNHHM06;2006
input_inproceedings.csv	112553	Missing conference article title	123477;Vudhichai Parasuk|Waraporn Parasuk;International Conference on Computational Science (3);;;;conf/iccS/2006-3;;http://dx.doi.org/10.1007/11758532_20;Ab initio;conf/iccS/ParasukP06;2006-05-12;;;;136-142;;;;;;;db/conf/iccS/iccS2006-3.html#ParasukP06;2006
input_inproceedings.csv	112765	Missing conference article title	123689;Abhishek Roy|Jitae Shin|Navrati Saxena;International Conference on Computational Science (1);;;;conf/iccS/2007-1;;http://dx.doi.org/10.1007/978-3-540-72584-8_87;CARP|G;conf/iccS/SaxenaRS07;2007-07-24;;;;652-659;;;;;;;db/conf/iccS/iccS2007-1.html#SaxenaRS07;2007
input_inproceedings.csv	112935	Missing conference article title	123863;B. Arifin|I. Noorbatcha|S. M. Zain;International Conference on Computational Science (2);;;;conf/iccS/2007-2;;http://dx.doi.org/10.1007/978-3-540-72586-2_48;Ab Initio;conf/iccS/NoorbatchaAZ07;2007-07-24;;;;335-338;;;;;;;db/conf/iccS/iccS2007-2.html#NoorbatchaAZ07;2007
input_inproceedings.csv	120883	Missing conference article title	131838;Magdi S. Mahmoud;SMC;;;;conf/smc/2010;;http://dx.doi.org/10.1109/ICSMC.2010.5641891;H|H;conf/smc/Mahmoud10;2010-11-24;;;;2690-2694;;;;;;;db/conf/smc/smc2010.html#Mahmoud10;2010
input_inproceedings.csv	121205	Missing conference article title	132160;Ali A. Jalali|Edward J. Boyle|Juchirl Park|Parvis Famouri|Richard Turton;SMC;;;;conf/smc/2003;;http://dx.doi.org/10.1109/ICSMC.2003.1244230;H;conf/smc/JalaliPFTB03;2013-04-22;;;;2320-2325;;∞;;;;;db/conf/smc/smc2003.html#JalaliPFTB03;2003
input_inproceedings.csv	135775	Missing conference article title	146945;Marcos Novaes;DSOM;;;;conf/dsom/2000;;http://dx.doi.org/10.1007/3-540-44460-2_15;Beacon;conf/dsom/Novaes00;2011-06-21;;;;169-180;;;;;;;db/conf/dsom/dsom2000.html#Novaes00;2000
input_inproceedings.csv	138823	Missing conference article title	150035;Christos H. Papadimitriou;ITiCSE;;;;conf/iticse/2003;;http://doi.acm.org/10.1145/961511.961513;Mythematics;conf/iticse/Papadimitriou03;2008-04-24;;;;1;;;;;;;db/conf/iticse/iticse2003.html#Papadimitriou03;2003
input_inproceedings.csv	139048	Missing conference article title	150262;João Ventura|Nuno Guedes|Raquel Gomes|Ricardo Seabra;ITiCSE;;;;conf/iticse/2005;;http://doi.acm.org/10.1145/1067445.1067611;SoundSpaces;conf/iticse/GomesSVG05;2007-08-27;;;;407;;;;;;;db/conf/iticse/iticse2005.html#GomesSVG05;2005
input_inproceedings.csv	141112	Missing conference article title	152353;Daniel Colomer|Xavier Franch;iStar;;;;conf/istar/2011;;http://ceur-ws.org/Vol-766/paper35.pdf;i;conf/istar/ColomerF11a;2011-12-12;;;;178-180;;;;;;;db/conf/istar/istar2011.html#ColomerF11a;2011
input_inproceedings.csv	141195	Missing conference article title	152439;Alexander Bergmayr|Dimitris Karagiannis|Margit Schwab;iStar;;;;conf/istar/2010;;http://ceur-ws.org/Vol-586/iStar10-paper18.pdf;i;conf/istar/SchwabKB10;2011-09-20;;;;92-97;;;;;;;db/conf/istar/istar2010.html#SchwabKB10;2010
input_inproceedings.csv	142620	Missing conference article title	153894;Angelos D. Keromytis|Angelos Stavrou|John Ioannidis|Stephen T. Chou;ISC;;;;conf/isw/2005;;http://dx.doi.org/10.1007/11556992_13;gore;conf/isw/ChouSIK05;2005-09-14;;;;179-193;;;;;;;db/conf/isw/isc2005.html#ChouSIK05;2005
input_inproceedings.csv	144765	Missing conference article title	156066;Frank Weimer;University Education Uses of Visualization in Scientific Computing;;;;conf/ifip3-2/1993;;;DAViT;conf/ifip3-2/Weimer93;2002-05-14;;;;95-104;;;;;;;db/conf/ifip3-2/ifip3-2-1993.html#Weimer93;1993
input_inproceedings.csv	145509	Missing conference article title	156837;Jesús Vegas|Joaquín Adiego|Miguel A. Martínez-Prieto|Pablo de la Fuente;ECDL;;;;conf/ercimdl/2007;;http://dx.doi.org/10.1007/978-3-540-74851-9_39;Aqueducts|Electronic Work;conf/ercimdl/Martinez-PrietoFVA07;2007-08-31;;;;445-448;;;;;;;db/conf/ercimdl/ecdl2007.html#Martinez-PrietoFVA07;2007
input_inproceedings.csv	147109	Missing conference article title	158470;Chunhui Liu|Luoshan Xu;NL-MUA;;;;conf/nlmua/2011;;http://dx.doi.org/10.1007/978-3-642-22833-9_81;L|L;conf/nlmua/LiuX11;2011-09-27;;;;667-674;;0;;;;;db/conf/nlmua/nlmua2011.html#LiuX11;2011
input_inproceedings.csv	154217	Missing conference article title	165717;Davide Buscaldi|Emilio Sanchis|José Manuel Gómez Soriano|Paolo Rosso;CLEF;;;;conf/clef/2006;;http://dx.doi.org/10.1007/978-3-540-74999-8_45;N;conf/clef/BuscaldiSRS06;2007-09-05;;;;377-384;;;;;;;db/conf/clef/clef2006.html#BuscaldiSRS06;2006
input_inproceedings.csv	155557	Missing conference article title	167081;Abdalkarim Awad|Falko Dressler|Reinhard German|Rodrigo Nebel;PEARL;;;;conf/pearl/2007;;http://dx.doi.org/10.1007/978-3-540-74837-3_1;pimoto;conf/pearl/NebelAGD07;2012-10-29;;;;1-10;;;;;;;db/conf/pearl/pearl2007.html#NebelAGD07;2007
input_inproceedings.csv	160437	Missing conference article title	172088;Andreas Crauser|Eric Rivals|Hans-Peter Lenhof|Martin Vingron|Paolo Ferragina|Stefan Burkhardt;RECOMB;;;;;;http://doi.acm.org/10.1145/299432.299460;q;conf/recomb/BurkhardtCFLRV99;2002-12-09;;;;77-83;;;;;;;db/conf/recomb/recomb1999.html#BurkhardtCFLRV99;1999
input_inproceedings.csv	160589	Missing conference article title	172242;Glenn Tesler|Haixu Tang|Pavel A. Pevzner;RECOMB;;;;conf/recomb/2004;;http://doi.acm.org/10.1145/974614.974643;De novo;conf/recomb/PevznerTT04;2006-02-15;;;;213-222;;;;;;;db/conf/recomb/recomb2004.html#PevznerTT04;2004
input_inproceedings.csv	160608	Missing conference article title	172262;Benjamin J. Raphael|Eli Upfal|Fabio Vandin;RECOMB;;;;conf/recomb/2011;;http://dx.doi.org/10.1007/978-3-642-20036-6_44;De Novo;conf/recomb/VandinUR11;2011-03-30;;;;499-500;;;;;;;db/conf/recomb/recomb2011.html#VandinUR11;2011
input_inproceedings.csv	172657	Missing conference article title	184407;James B. D. Joshi|Suroop Mohan Chandran;WISE;;;;conf/wise/2005;;http://dx.doi.org/10.1007/11581062_27;LoT-RBAC;conf/wise/ChandranJ05;2006-11-10;;;;361-375;;;;;;;db/conf/wise/wise2005.html#ChandranJ05;2005
input_inproceedings.csv	172940	Missing conference article title	184697;Felipe M. Villoria|Oscar Díaz|Sergio Fernández Anzuola;WISE;;;;conf/wise/2006;;http://dx.doi.org/10.1007/11912873_57;Blogouse;conf/wise/VilloriaAD06;2006-11-13;;;;554-559;;;;;;;db/conf/wise/wise2006.html#VilloriaAD06;2006
input_inproceedings.csv	174447	Missing conference article title	186242;Khedija Arour|Saloua Zammali;Globe;;;;conf/globe/2010;;http://dx.doi.org/10.1007/978-3-642-15108-8_9;P2PIR|P2PIRB;conf/globe/ZammaliA10;2010-08-20;;;;100-111;;;;;;;db/conf/globe/globe2010.html#ZammaliA10;2010
input_inproceedings.csv	175608	Missing conference article title	187437;Prasad Jayanti;PODC;;;;conf/podc/2002;;http://doi.acm.org/10.1145/571825.571875;f;conf/podc/Jayanti02;2012-05-23;;;;270-279;;;;;;;db/conf/podc/podc2002.html#Jayanti02;2002
input_inproceedings.csv	175898	Missing conference article title	187732;Christophe Genolini|Joffroy Beauquier|Shay Kutten;PODC;;;;conf/podc/1998;;http://doi.acm.org/10.1145/277697.277777;k;conf/podc/BeauquierGK98;2012-05-23;;;;318;;;;;;;db/conf/podc/podc98.html#BeauquierGK98;1998
input_inproceedings.csv	176742	Missing conference article title	188596;Ajay Gulati|Arif Merchant|Peter J. Varman;PODC;;;;conf/podc/2007;;http://doi.acm.org/10.1145/1281100.1281157;d;conf/podc/GulatiMV07;2007-08-23;;;;330-331;;;;;;;db/conf/podc/podc2007.html#GulatiMV07;2007
input_inproceedings.csv	188002	Missing conference article title	200013;Kwan-Wu Chin;MSWiM;;;;conf/mswim/2006;;http://doi.acm.org/10.1145/1164717.1164735;T;conf/mswim/Chin06;2011-01-21;;;;91-98;;;2;;;;db/conf/mswim/mswim2006.html#Chin06;2006
input_inproceedings.csv	188302	Missing conference article title	200325;Mathieu Lacage|Mohammad Hossein Manshaei|Thierry Turletti;MSWiM;;;;conf/mswim/2004;;http://doi.acm.org/10.1145/1023663.1023687;IEEE 802.11;conf/mswim/LacageMT04;2006-02-15;;;;126-134;;;;;;;db/conf/mswim/mswim2004.html#LacageMT04;2004
input_inproceedings.csv	189850	Missing conference article title	201910;André Neumann|Benjamin Kaufmann|Martin Gebser|Torsten Schaub;LPNMR;;;;conf/lpnmr/2007;;http://dx.doi.org/10.1007/978-3-540-72200-7_23;clasp;conf/lpnmr/GebserKNS07a;2007-06-06;;;;260-265;;;;;;;db/conf/lpnmr/lpnmr2007.html#GebserKNS07a;2007
input_inproceedings.csv	191366	Missing conference article title	203457;Andrea Bartolini|Luca Benini|Martino Ruggiero;EMSOFT;;;;conf/emsoft/2009;;http://doi.acm.org/10.1145/1629335.1629339;HVS-DBS;conf/emsoft/BartoliniRB09;2009-10-26;;;;21-28;;;;;;;db/conf/emsoft/emsoft2009.html#BartoliniRB09;2009
input_inproceedings.csv	191529	Missing conference article title	203625;A. Katzourakis|Anthony Savidis|Constantine Stephanidis|Efie Karouzaki;HCI (5);;;;conf/hci/2007-5;;http://dx.doi.org/10.1007/978-3-540-73279-2_42;Tile Dreamer;conf/hci/KarouzakiSKS07;2010-01-15;;;;382-391;;;;;;;db/conf/hci/hci2007-5.html#KarouzakiSKS07;2007
input_inproceedings.csv	191593	Missing conference article title	203689;Achim Pross|Matthias Bues|Milind Mahale|Oliver Stefani;HCI (19);;;;conf/hci/2011-19;;http://dx.doi.org/10.1007/978-3-642-21716-6_24;SmartHeliosity;conf/hci/StefaniMPB11;2011-06-30;;;;226-235;;;;;;;db/conf/hci/hci2011-19.html#StefaniMPB11;2011
input_inproceedings.csv	192737	Missing conference article title	204842;Filippo Geraci|M. Elena Renda|Manuela Montangero|Marco Pellegrini|Mauro Leoncini;HCI (12);;;;conf/hci/2007-12;;http://dx.doi.org/10.1007/978-3-540-73321-8_69;FPF-SB;conf/hci/GeraciLMPR07;2007-08-31;;;;606-615;;;;;;;db/conf/hci/hci2007-12.html#GeraciLMPR07;2007
input_inproceedings.csv	193447	Missing conference article title	205560;Satoshi Tsukanaka|Takumi Nakama|Yuichiro Kinoshita;HCI (11);;;;conf/hci/2011-11;;http://dx.doi.org/10.1007/978-3-642-21793-7_25;Kansei;conf/hci/KinoshitaTN11;2011-06-30;;;;211-220;;;;;;;db/conf/hci/hci2011-11.html#KinoshitaTN11;2011
input_inproceedings.csv	194646	Missing conference article title	206768;Christian Wolff|Patricia Böhm|Tim Schneidermeier;HCI (16);;;;conf/hci/2011-16;;http://dx.doi.org/10.1007/978-3-642-21753-1_22;Smart Sol;conf/hci/BohmSW11;2011-06-30;;;;187-196;;;;;;;db/conf/hci/hci2011-16.html#BohmSW11;2011
input_inproceedings.csv	195129	Missing conference article title	207259;Amit Anil Nanavati|Nitendra Rajput|S. Arun Nair;HCI (3);;;;conf/hci/2007-3;;http://dx.doi.org/10.1007/978-3-540-73110-8_18;Conspeakuous;conf/hci/NairNR07;2007-08-29;;;;165-175;;;;;;;db/conf/hci/hci2007-3.html#NairNR07;2007
input_inproceedings.csv	195373	Missing conference article title	207505;Naznin Rao;HCI (11);;;;conf/hci/2007-11;;http://dx.doi.org/10.1007/978-3-540-73289-1_24;Entrepreneurial Digital Photography;conf/hci/Rao07;2007-08-31;;;;193-200;;;;;;;db/conf/hci/hci2007-11.html#Rao07;2007
input_inproceedings.csv	196727	Missing conference article title	208877;Atsushi Hasegawa;HCI (10);;;;conf/hci/2009-10;;http://dx.doi.org/10.1007/978-3-642-02806-9_82; Site-it!: An Information Architecture Prototyping Tool;conf/hci/Hasegawa09;2009-07-23;;;;707-711;;;;;;;db/conf/hci/hci2009-10.html#Hasegawa09;2009
input_inproceedings.csv	205304	Missing conference article title	217585;Carl A. Waldspurger|George Z. Chrysos|James E. Hicks|Jeffrey Dean|William E. Weihl;MICRO;;;;;;http://portal.acm.org/citation.cfm?id=266800.266828;ProfileMe;conf/micro/DeanHWWC97;2006-03-14;;;;292-302;;;;;;;db/conf/micro/micro97.html#DeanHWWC97;1997
