Rank,Title,OA,Country,SJR-index,CiteScore,H-index,Best Quartile,Best Categories,Best Subject Area,Best Subject Rank,Total Docs.,Total Docs. 3y,Total Refs.,Total Cites 3y,Citable Docs. 3y,Cites/Doc. 2y,Refs./Doc.,Publisher,Core Collection,Coverage,Active,In-Press,ISO Language Code,ASJC Codes,Life Sciences,Social Sciences,Physical Sciences,Health Sciences,1000 General,1100 Agricultural and Biological Sciences,1200 Arts and Humanities,"1300 Biochemistry, Genetics and Molecular Biology","1400 Business, Management and Accounting",1500 Chemical Engineering,1600 Chemistry,1700 Computer Science,1800 Decision Sciences,1900 Earth and Planetary Sciences,"2000 Economics, Econometrics and Finance",2100 Energy,2200 Engineering,2300 Environmental Science,2400 Immunology and Microbiology,2500 Materials Science,2600 Mathematics,2700 Medicine,2800 Neuroscience,2900 Nursing,"3000 Pharmacology, Toxicology and Pharmaceutics",3100 Physics and Astronomy,3200 Psychology,3300 Social Sciences,3400 Veterinary,3500 Dentistry,3600 Health Professions
12,Nature,False,United Kingdom,20.957,83.4,1331,Q1,['Multidisciplinary'],Multidisciplinary,1,3132,7467,67627,168543,3565,23.95,21.59,Nature Portfolio,Science Citation Index Expanded,1869,True,True,ENG,['1000'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Journal of Political Economy,False,United States,20.643,15.7,207,Q1,['Economics and Econometrics'],"Economics, Econometrics and Finance",3,73,259,4302,2634,256,8.11,58.93,Univ Chicago Press,Social Sciences Citation Index,1969,True,False,ENG,['2002'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Reviews of Modern Physics,False,United States,20.343,91.5,372,Q1,['Physics and Astronomy (miscellaneous)'],Physics and Astronomy,1,37,107,12520,5268,103,43.02,338.38,Amer Physical Soc,Science Citation Index Expanded,1929,True,False,ENG,['3100'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,Nature Energy,False,United States,19.588,81.6,196,Q1,"['Energy Engineering and Power Technology', 'Fuel Technology', 'Renewable Energy, Sustainability and the Environment']",Energy,2,213,610,6286,18034,366,27.05,29.51,Nature Portfolio,Science Citation Index Expanded,2016,True,True,ENG,"['2102', ' 2103', ' 2105', ' 2504']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Nature Reviews Genetics,False,United Kingdom,19.454,73.2,406,Q1,"['Genetics', 'Molecular Biology']","Biochemistry, Genetics and Molecular Biology",6,123,331,8797,7701,186,17.21,71.52,Nature Portfolio,Science Citation Index Expanded,2000,True,True,ENG,"['2716', ' 1311', ' 1312']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,Nature Reviews Drug Discovery,False,United Kingdom,19.423,123.8,370,Q1,"['Drug Discovery', 'Pharmacology']","Pharmacology, Toxicology and Pharmaceutics",1,245,674,9158,12260,148,17.15,37.38,Nature Portfolio,Science Citation Index Expanded,2002,True,True,ENG,"['3002', ' 3004', ' 2700']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,Chemical Reviews,False,United States,18.911,102.7,790,Q1,['Chemistry (miscellaneous)'],Chemistry,1,340,779,144893,49047,748,58.37,426.16,Amer Chemical Soc,Science Citation Index Expanded,1924,True,False,ENG,['1600'],0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nature Reviews Immunology,False,United Kingdom,18.141,83.0,444,Q1,['Immunology'],Immunology and Microbiology,2,170,527,10795,15360,287,30.78,63.5,Nature Portfolio,Science Citation Index Expanded,2001,True,True,ENG,"['2403', ' 2723']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20,Morbidity and Mortality Weekly Report,True,United States,16.786,52.8,247,Q1,"['Health, Toxicology and Mutagenesis']",Environmental Science,2,218,931,1309,19129,747,25.69,6.0,,,1981,True,False,ENG,"['3605', ' 2307', ' 2700', ' 3306', ' 2713']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
21,Nature Genetics,False,United Kingdom,16.732,53.8,621,Q1,['Genetics'],"Biochemistry, Genetics and Molecular Biology",7,260,640,12836,15264,485,19.56,49.37,Nature Portfolio,Science Citation Index Expanded,1992,True,True,ENG,['1311'],1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Administrative Science Quarterly,False,United States,16.555,21.1,201,Q1,['Arts and Humanities (miscellaneous)'],Arts and Humanities,1,32,90,3601,1352,85,12.87,112.53,Sage Publications Inc,Social Sciences Citation Index,1975,True,False,ENG,"['3321', ' 3312', ' 1201']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,Academy of Management Annals,False,United States,15.633,30.6,95,Q1,"['Business and International Management', 'Organizational Behavior and Human Resource Management']","Business, Management and Accounting",1,23,72,6475,1787,71,23.02,281.52,Acad Management,Social Sciences Citation Index,2010,True,True,ENG,"['1407', ' 1403']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Journal of Finance,False,United Kingdom,15.515,11.4,336,Q1,['Accounting'],"Business, Management and Accounting",2,71,230,4037,1809,223,7.14,56.86,Wiley,Social Sciences Citation Index,1946,True,False,ENG,"['2002', ' 2003', ' 1402']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Annual Review of Immunology,False,United States,15.262,54.1,317,Q1,['Immunology'],Immunology and Microbiology,3,24,84,4380,2702,83,29.82,182.5,Annual Reviews,Science Citation Index Expanded,1983,True,False,ENG,"['2403', ' 2723']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
26,MMWR Surveillance Summaries,True,United States,15.178,43.0,114,Q1,"['Health, Toxicology and Mutagenesis']",Environmental Science,3,11,114,500,2980,104,26.42,45.45,Centers Disease Control & Prevention,Science Citation Index Expanded,2002,True,False,ENG,"['3605', ' 2307', ' 3306', ' 2713']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
27,Chemical Society Reviews,False,United Kingdom,15.109,81.3,595,Q1,['Chemistry (miscellaneous)'],Chemistry,2,309,861,72439,45168,854,46.22,234.43,Royal Soc Chemistry,Science Citation Index Expanded,1972,True,False,ENG,['1600'],0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Nature Reviews Clinical Oncology,False,United Kingdom,14.809,75.5,198,Q1,['Oncology'],Medicine,12,131,442,8155,9474,201,24.11,62.25,Nature Portfolio,Science Citation Index Expanded,2009,True,True,ENG,['2730'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,Immunity,False,United States,14.795,57.7,436,Q1,['Immunology'],Immunology and Microbiology,4,214,725,13904,18347,643,22.23,64.97,Cell Press,Science Citation Index Expanded,1994,True,True,ENG,"['2725', ' 2403', ' 2723']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
30,"Lancet, The",False,United Kingdom,14.607,,855,Q1,['Medicine (miscellaneous)'],Medicine,14,1198,4401,20483,80420,1373,21.54,17.1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Review of Economic Studies,False,United Kingdom,14.432,10.7,158,Q1,['Economics and Econometrics'],"Economics, Econometrics and Finance",5,77,235,5015,1588,235,5.2,65.13,Oxford Univ Press,Social Sciences Citation Index,1933,True,False,ENG,['2002'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nature Methods,False,United Kingdom,14.358,48.9,363,Q1,"['Biochemistry', 'Biotechnology', 'Cell Biology', 'Molecular Biology']","Biochemistry, Genetics and Molecular Biology",8,350,1022,9296,15558,665,13.78,26.56,Nature Portfolio,Science Citation Index Expanded,2004,True,True,ENG,"['1307', ' 1312', ' 1303', ' 1305']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,World Psychiatry,True,United States,14.306,63.1,125,Q1,['Psychiatry and Mental Health'],Medicine,15,104,292,4345,4232,62,15.61,41.78,Wiley,Science Citation Index Expanded | Social Sciences Citation Index,2007,True,False,ENG,"['2738', ' 2921']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
34,IEEE Communications Surveys and Tutorials,True,United States,14.248,82.5,240,Q1,['Electrical and Electronic Engineering'],Engineering,2,76,306,16826,13450,297,41.05,221.39,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded,2005,True,False,ENG,['2208'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Nature Materials,False,United Kingdom,13.874,58.3,533,Q1,['Condensed Matter Physics'],Physics and Astronomy,2,293,835,9498,21329,578,25.26,32.42,Nature Portfolio,Science Citation Index Expanded,2002,True,True,ENG,"['2210', ' 2211', ' 3104', ' 2500', ' 1600']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
36,Foundations and Trends in Machine Learning,False,United States,13.775,91.4,36,Q1,"['Artificial Intelligence', 'Human-Computer Interaction', 'Software']",Computer Science,1,2,15,173,851,15,39.1,86.5,Now Publishers Inc,Emerging Sources Citation Index,2008,True,False,ENG,"['1702', ' 1709', ' 1712']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Physiological Reviews,False,United States,13.693,79.5,373,Q1,"['Molecular Biology', 'Physiology']","Biochemistry, Genetics and Molecular Biology",9,46,122,17428,6046,119,32.23,378.87,Amer Physiological Soc,Science Citation Index Expanded,1945,True,False,ENG,"['2737', ' 1312', ' 1314', ' 2700']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,Science,False,United States,13.328,59.0,1283,Q1,['History and Philosophy of Science'],Arts and Humanities,2,2066,9273,40993,130524,4211,14.9,19.84,Amer Assoc Advancement Science,Science Citation Index Expanded,1880,True,True,ENG,['1000'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Nature Catalysis,False,United States,13.187,53.0,110,Q1,"['Bioengineering', 'Catalysis', 'Process Chemistry and Technology']",Chemical Engineering,2,169,486,6420,12139,370,22.64,37.99,Nature Portfolio,Science Citation Index Expanded,2018,True,True,ENG,"['1508', ' 1303', ' 1502', ' 1503']",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Nature Nanotechnology,False,United Kingdom,13.141,54.6,395,Q1,['Bioengineering'],Chemical Engineering,3,230,669,8497,16881,425,26.34,36.94,Nature Portfolio,Science Citation Index Expanded,2006,True,True,ENG,"['2208', ' 3104', ' 2500', ' 2204', ' 3107', ' 1502']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
41,Econometrica,False,United Kingdom,12.979,8.8,213,Q1,['Economics and Econometrics'],"Economics, Econometrics and Finance",6,92,241,4257,1419,236,5.28,46.27,Wiley,Science Citation Index Expanded | Social Sciences Citation Index,1974,True,False,ENG,['2002'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Journal of Economic Literature,False,United States,12.966,20.5,173,Q1,['Economics and Econometrics'],"Economics, Econometrics and Finance",7,15,67,2280,991,67,11.93,152.0,Amer Economic Assoc,Social Sciences Citation Index,1981,True,False,ENG,['2002'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,American Economic Journal: Applied Economics,False,United States,12.694,12.8,100,Q1,"['Economics, Econometrics and Finance (miscellaneous)']","Economics, Econometrics and Finance",8,42,127,2726,1037,127,5.7,64.9,,,2009,True,False,ENG,['2000'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Cancer Cell,False,United States,12.578,52.9,378,Q1,"['Cancer Research', 'Cell Biology']","Biochemistry, Genetics and Molecular Biology",11,192,548,7019,12507,426,21.28,36.56,Cell Press,Science Citation Index Expanded,2002,True,True,ENG,"['1306', ' 2730']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,Energy and Environmental Science,False,United Kingdom,12.306,,408,Q1,"['Nuclear Energy and Engineering', 'Renewable Energy, Sustainability and the Environment']",Energy,3,410,993,31909,35495,986,32.24,77.83,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Joule,False,United States,12.282,60.6,153,Q1,['Energy (miscellaneous)'],Energy,4,201,750,10717,21751,619,25.22,53.32,Cell Press,Science Citation Index Expanded,2017,True,True,ENG,['2100'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Lancet Oncology, The",False,United Kingdom,12.27,,382,Q1,['Oncology'],Medicine,18,476,1520,6563,19716,628,13.57,13.79,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Review of Financial Studies,False,United Kingdom,12.239,13.8,218,Q1,['Accounting'],"Business, Management and Accounting",3,101,407,6256,4135,406,9.54,61.94,Oxford Univ Press Inc,Social Sciences Citation Index,1996,True,False,ENG,"['2002', ' 2003', ' 1402']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Nature Neuroscience,False,United Kingdom,12.124,43.9,460,Q1,['Neuroscience (miscellaneous)'],Neuroscience,1,230,631,10585,12318,568,17.65,46.02,Nature Portfolio,Science Citation Index Expanded,1998,True,True,ENG,['2800'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,Advances in Physics,False,United Kingdom,12.034,51.5,121,Q1,['Condensed Matter Physics'],Physics and Astronomy,4,0,13,0,323,11,29.44,0.0,Taylor & Francis Ltd,Science Citation Index Expanded,1952,True,False,ENG,['3104'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,Annals of Oncology,False,United Kingdom,11.945,63.0,277,Q1,"['Hematology', 'Medicine (miscellaneous)', 'Oncology']",Medicine,19,170,840,6095,16210,494,18.4,35.85,Elsevier,Science Citation Index Expanded,1990,True,False,ENG,"['2730', ' 2720']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,Nature Photonics,False,United Kingdom,11.774,59.3,362,Q1,"['Electronic, Optical and Magnetic Materials']",Materials Science,5,180,553,5536,12338,339,22.26,30.76,Nature Portfolio,Science Citation Index Expanded,2007,True,True,ENG,"['3107', ' 2504']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
53,Living Reviews in Relativity,True,Switzerland,11.561,65.5,92,Q1,['Physics and Astronomy (miscellaneous)'],Physics and Astronomy,6,6,14,3396,510,14,37.13,566.0,Springer Int Publ Ag,Science Citation Index Expanded,1998,True,False,ENG,['3101'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,Nature Reviews Disease Primers,False,United Kingdom,11.388,60.9,155,Q1,['Medicine (miscellaneous)'],Medicine,20,82,282,8198,8960,180,26.87,99.98,Nature Portfolio,Science Citation Index Expanded,2015,True,False,ENG,['2700'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,"Lancet Respiratory Medicine,The",False,United Kingdom,11.204,,159,Q1,['Pulmonary and Respiratory Medicine'],Medicine,21,274,939,4770,13753,402,16.69,17.41,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Science immunology,False,United States,11.191,30.2,90,Q1,['Immunology'],Immunology and Microbiology,5,193,423,10743,7947,398,19.83,55.66,Amer Assoc Advancement Science,Science Citation Index Expanded,2016,True,False,ENG,"['2700', ' 2403']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
57,Annual Review of Biochemistry,False,United States,11.154,42.0,316,Q1,['Biochemistry'],"Biochemistry, Genetics and Molecular Biology",12,29,94,4437,2389,94,17.13,153.0,Annual Reviews,Science Citation Index Expanded,1950,True,False,ENG,['1303'],1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Nature Reviews Chemistry,False,United Kingdom,10.967,46.1,90,Q1,['Chemical Engineering (miscellaneous)'],Chemical Engineering,4,101,265,8804,4661,160,17.42,87.17,Nature Portfolio,Science Citation Index Expanded,2017,True,True,ENG,"['1500', ' 1600']",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Nature Electronics,False,United Kingdom,10.927,38.3,84,Q1,['Electrical and Electronic Engineering'],Engineering,5,175,481,4335,7731,276,17.18,24.77,Nature Portfolio,Science Citation Index Expanded,2018,True,True,ENG,"['2208', ' 3105', ' 2504']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
60,Nature Immunology,False,United Kingdom,10.921,41.0,424,Q1,['Immunology'],Immunology and Microbiology,6,289,748,9841,10975,517,14.94,34.05,Nature Portfolio,Science Citation Index Expanded,2000,True,True,ENG,"['2403', ' 2723']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
61,Academy of Management Journal,False,United States,10.91,15.7,358,Q1,"['Business and International Management', 'Business, Management and Accounting (miscellaneous)', 'Management of Technology and Innovation', 'Strategy and Management']","Business, Management and Accounting",4,67,218,7645,2908,217,10.85,114.1,Acad Management,Social Sciences Citation Index,1975,True,False,ENG,"['1405', ' 1408', ' 1400', ' 1403']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,American Economic Journal: Macroeconomics,False,United States,10.871,9.5,75,Q1,"['Economics, Econometrics and Finance (miscellaneous)']","Economics, Econometrics and Finance",10,39,123,1945,798,123,5.87,49.87,,,2009,True,False,ENG,['2000'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Journal of Marketing,False,United States,10.802,22.1,268,Q1,"['Business and International Management', 'Marketing']","Business, Management and Accounting",5,58,172,4136,2659,149,12.42,71.31,Sage Publications Inc,Social Sciences Citation Index,1969,True,False,ENG,"['1406', ' 1403']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Academy of Management Review,False,United States,10.687,18.4,293,Q1,"['Business, Management and Accounting (miscellaneous)', 'Management of Technology and Innovation', 'Strategy and Management']","Business, Management and Accounting",6,40,167,3583,2162,153,13.33,89.58,Acad Management,Social Sciences Citation Index,1978,True,False,ENG,"['1405', ' 1408', ' 1400']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Annual Review of Condensed Matter Physics,False,United States,10.644,47.0,81,Q1,['Materials Science (miscellaneous)'],Materials Science,7,18,59,2804,1410,59,22.92,155.78,Annual Reviews,Science Citation Index Expanded,2010,True,False,ENG,"['3104', ' 2500']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
66,Journal of Financial Economics,False,Netherlands,10.601,11.3,289,Q1,"['Accounting', 'Strategy and Management']","Business, Management and Accounting",7,203,495,11785,4793,491,8.5,58.05,Elsevier Science Sa,Social Sciences Citation Index,1974,True,True,ENG,"['1408', ' 2002', ' 2003', ' 1402']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"Lancet Public Health, The",True,United Kingdom,10.591,,75,Q1,"['Public Health, Environmental and Occupational Health']",Medicine,24,169,493,4394,7405,175,18.43,26.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Nature Reviews Microbiology,False,United Kingdom,10.396,60.2,349,Q1,"['Immunology and Microbiology (miscellaneous)', 'Microbiology']",Immunology and Microbiology,7,172,509,9138,12415,362,24.39,53.13,Nature Portfolio,Science Citation Index Expanded,2003,True,True,ENG,"['2400', ' 2404', ' 2725']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
